task_id,family,variant,witnesses_found,compile_result,states_explored,search_time_ms
bench_cap_alias_diff_cap_01,capability_sensitive,Full,5,pass,15,1.4
bench_cap_alias_diff_cap_01,capability_sensitive,NoStack,5,pass,15,0.9
bench_cap_alias_diff_cap_01,capability_sensitive,NoCapability,5,pass,15,1.0
bench_cap_alias_diff_cap_01,capability_sensitive,NoObligation,5,pass,15,1.0
bench_cap_alias_diff_cap_01,capability_sensitive,TypeOnly,5,pass,15,0.8
bench_cap_copy_reuse_01,capability_sensitive,Full,5,pass,48,4.3
bench_cap_copy_reuse_01,capability_sensitive,NoStack,5,pass,48,3.8
bench_cap_copy_reuse_01,capability_sensitive,NoCapability,5,pass,52,4.8
bench_cap_copy_reuse_01,capability_sensitive,NoObligation,5,pass,48,4.3
bench_cap_copy_reuse_01,capability_sensitive,TypeOnly,5,pass,51,4.0
bench_cap_freeze_unfreeze_01,capability_sensitive,Full,5,pass,15,0.8
bench_cap_freeze_unfreeze_01,capability_sensitive,NoStack,5,pass,15,0.7
bench_cap_freeze_unfreeze_01,capability_sensitive,NoCapability,5,pass,15,0.9
bench_cap_freeze_unfreeze_01,capability_sensitive,NoObligation,5,pass,15,0.9
bench_cap_freeze_unfreeze_01,capability_sensitive,TypeOnly,5,pass,15,0.8
bench_cap_move_vs_copy_01,capability_sensitive,Full,5,pass,15,0.9
bench_cap_move_vs_copy_01,capability_sensitive,NoStack,5,pass,15,0.9
bench_cap_move_vs_copy_01,capability_sensitive,NoCapability,5,pass,15,0.9
bench_cap_move_vs_copy_01,capability_sensitive,NoObligation,5,pass,15,0.9
bench_cap_move_vs_copy_01,capability_sensitive,TypeOnly,5,pass,15,0.7
bench_cap_own_frz_blk_01,capability_sensitive,Full,5,pass,15,0.9
bench_cap_own_frz_blk_01,capability_sensitive,NoStack,5,pass,15,0.7
bench_cap_own_frz_blk_01,capability_sensitive,NoCapability,5,pass,15,0.8
bench_cap_own_frz_blk_01,capability_sensitive,NoObligation,5,pass,15,0.9
bench_cap_own_frz_blk_01,capability_sensitive,TypeOnly,5,pass,15,0.8
bench_mixed_ambig_provider_01,mixed_hard,Full,5,pass,15,1.0
bench_mixed_ambig_provider_01,mixed_hard,NoStack,5,pass,15,0.8
bench_mixed_ambig_provider_01,mixed_hard,NoCapability,5,pass,15,0.9
bench_mixed_ambig_provider_01,mixed_hard,NoObligation,5,pass,15,1.2
bench_mixed_ambig_provider_01,mixed_hard,TypeOnly,5,pass,15,0.9
bench_mixed_ctor_borrow_proj_01,mixed_hard,Full,5,pass,15,0.9
bench_mixed_ctor_borrow_proj_01,mixed_hard,NoStack,5,pass,15,0.8
bench_mixed_ctor_borrow_proj_01,mixed_hard,NoCapability,5,pass,15,0.9
bench_mixed_ctor_borrow_proj_01,mixed_hard,NoObligation,5,pass,15,0.9
bench_mixed_ctor_borrow_proj_01,mixed_hard,TypeOnly,5,pass,15,0.7
bench_mixed_long_chain_01,mixed_hard,Full,5,pass,15,0.8
bench_mixed_long_chain_01,mixed_hard,NoStack,5,pass,15,0.8
bench_mixed_long_chain_01,mixed_hard,NoCapability,5,pass,15,1.0
bench_mixed_long_chain_01,mixed_hard,NoObligation,5,pass,15,0.8
bench_mixed_long_chain_01,mixed_hard,TypeOnly,5,pass,15,0.7
bench_obl_assoc_decides_01,obligation_sensitive,Full,5,pass,326,49.5
bench_obl_assoc_decides_01,obligation_sensitive,NoStack,5,pass,282,38.4
bench_obl_assoc_decides_01,obligation_sensitive,NoCapability,5,pass,362,52.1
bench_obl_assoc_decides_01,obligation_sensitive,NoObligation,5,fail,83,10.9
bench_obl_assoc_decides_01,obligation_sensitive,TypeOnly,5,fail,86,8.7
bench_obl_distractor_shape_01,obligation_sensitive,Full,5,pass,181,25.8
bench_obl_distractor_shape_01,obligation_sensitive,NoStack,5,pass,171,21.1
bench_obl_distractor_shape_01,obligation_sensitive,NoCapability,5,pass,213,28.3
bench_obl_distractor_shape_01,obligation_sensitive,NoObligation,5,fail,51,5.4
bench_obl_distractor_shape_01,obligation_sensitive,TypeOnly,5,fail,51,4.5
bench_obl_generic_method_01,obligation_sensitive,Full,5,pass,270,38.6
bench_obl_generic_method_01,obligation_sensitive,NoStack,5,pass,228,28.8
bench_obl_generic_method_01,obligation_sensitive,NoCapability,5,pass,306,42.6
bench_obl_generic_method_01,obligation_sensitive,NoObligation,5,fail,72,8.8
bench_obl_generic_method_01,obligation_sensitive,TypeOnly,5,fail,75,7.5
bench_obl_trait_gate_01,obligation_sensitive,Full,5,pass,326,50.4
bench_obl_trait_gate_01,obligation_sensitive,NoStack,5,pass,282,38.2
bench_obl_trait_gate_01,obligation_sensitive,NoCapability,5,pass,362,52.1
bench_obl_trait_gate_01,obligation_sensitive,NoObligation,5,fail,83,11.2
bench_obl_trait_gate_01,obligation_sensitive,TypeOnly,5,fail,86,10.2
bench_stack_discharge_order_01,stack_sensitive,Full,5,pass,57,6.2
bench_stack_discharge_order_01,stack_sensitive,NoStack,5,pass,56,5.2
bench_stack_discharge_order_01,stack_sensitive,NoCapability,5,pass,61,6.4
bench_stack_discharge_order_01,stack_sensitive,NoObligation,5,pass,57,6.2
bench_stack_discharge_order_01,stack_sensitive,TypeOnly,5,pass,59,5.3
bench_stack_last_reader_01,stack_sensitive,Full,5,pass,15,1.1
bench_stack_last_reader_01,stack_sensitive,NoStack,5,pass,15,0.7
bench_stack_last_reader_01,stack_sensitive,NoCapability,5,pass,15,0.9
bench_stack_last_reader_01,stack_sensitive,NoObligation,5,pass,15,1.0
bench_stack_last_reader_01,stack_sensitive,TypeOnly,5,pass,15,0.9
bench_stack_nested_scope_01,stack_sensitive,Full,5,pass,15,0.9
bench_stack_nested_scope_01,stack_sensitive,NoStack,5,pass,15,0.8
bench_stack_nested_scope_01,stack_sensitive,NoCapability,5,pass,15,0.9
bench_stack_nested_scope_01,stack_sensitive,NoObligation,5,pass,15,1.0
